■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-05-03,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2014-01-01~2014-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
12,어메이징 스파이더맨 2,4/23/2014,"34,869,101,800",2.1%,"34,869,101,800","4,168,353","4,168,353","1,312","91,715",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,판타지",마크 웹,"앤드류 가필드,엠마 스톤,제이미 폭스,데인 드한"
13,타짜-신의 손,9/3/2014,"32,373,120,927",1.9%,"32,373,120,927","4,015,361","4,015,361",890,"80,584",한국,한국,(주)싸이더스,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",청소년관람불가,드라마,강형철,"최승현,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세,박효주,백승찬,양성우,우민호,윤지환,이승원,이승훈,이영민,이원호,정동근,조연우,한준우,곽수정,홍승철,황현서,김도엽,김원영,김장미,문도선,이준혁,김새벽,배유람,안재홍,이동휘,김원해,최종률,고준,조경현"
14,혹성탈출: 반격의 서막,7/10/2014,"31,514,053,095",1.9%,"31,514,053,095","4,002,560","4,002,560",956,"72,881",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,드라마,SF,스릴러",맷 리브스,"앤디 서키스,게리 올드만,제이슨 클락"
15,캡틴 아메리카: 윈터 솔져,3/26/2014,"31,711,040,385",1.9%,"31,711,040,385","3,963,251","3,963,251","1,106","110,109",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,"액션,어드벤처,SF","조 루소,안소니 루소","크리스 에반스,스칼렛 요한슨,사무엘 L. 잭슨,로버트 레드포드"
16,역린,4/30/2014,"29,894,266,890",1.8%,"29,894,266,890","3,849,552","3,849,552","1,054","83,296",한국,한국,"굿초이스컷픽쳐스(주),(주)파파스필름",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,사극,이재규,"현빈,정재영,조정석,한지민,조재현,박성웅,김성령,정은채,강민지,박지혜,석현,정성민,조정민,최용식,이상현,한대룡,이수봉,홍남희,김고운,이승주,이승주,이승훈,이언정,이용출,이용출,이정수,김기수,김나현,김도연,김두루,김현진,송영창,김대명,천보근,서이숙,성유빈"
17,"님아, 그 강을 건너지 마오",11/27/2014,"29,845,829,479",1.8%,"29,845,829,479","3,846,378","3,846,378",806,"67,170",한국,한국,아거스필름,"CGV아트하우스,(주)대명문화공장",전체관람가,다큐멘터리,진모영,"조병만,강계열"
18,신의 한 수,7/3/2014,"28,812,027,456",1.7%,"28,812,027,456","3,566,852","3,566,852",794,"77,109",한국,한국,"(주)메이스엔터테인먼트,(주)아지트필름",(주)쇼박스,청소년관람불가,"범죄,액션",조범구,"정우성,안성기,이범수,김인권,이시영,안길강,최진혁,홍성덕,정윤선,강다혜,박지훈,백동현,서병덕,고용석,윤정희,이다혜,최두엽,최시은,최제헌,이명희,권태원,이은지,이정호,이주희,김선웅,김주형,김태진,박갑진,유재상,김홍파,유순철,김명수,안서현,이용녀,최일화,김소진"
19,끝까지 간다,5/29/2014,"27,007,303,900",1.6%,"27,007,303,900","3,450,305","3,450,305",645,"84,875",한국,한국,"(주)에이디사공육,(주)다세포클럽",(주)쇼박스,15세이상관람가,"액션,스릴러,범죄",김성훈,"이선균,조진웅,신정근,정만식,신동미,김동영,박보검,박진성,정하철,윤종현,이승준,이지훈,김보경,이영수,김재철,김진환,배유람,김강현,기주봉,장인섭,장준녕,김해곤,서현우,이준혁"
20,비긴 어게인,8/13/2014,"27,098,834,504",1.6%,"27,098,834,504","3,427,524","3,427,524",525,"82,684",미국,미국,,판씨네마(주),15세이상관람가,멜로/로맨스,존 카니,"키이라 나이틀리,마크 러팔로,애덤 리바인,헤일리 스테인펠드,제임스 코든,캐서린 키너"
21,드래곤 길들이기 2,7/23/2014,"23,979,935,189",1.4%,"23,979,935,189","3,000,056","3,000,056",829,"51,924",미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,액션,어드벤처",딘 데블로이스,"제이 바루첼,제라드 버틀러,케이트 블란쳇,아메리카 페레라"
22,표적,4/30/2014,"22,256,769,300",1.3%,"22,256,769,300","2,841,828","2,841,828",716,"72,255",한국,한국,"(주)바른손이앤에이,(주)용필름",씨제이이앤엠(주),15세이상관람가,"액션,드라마",창,"류승룡,유준상,이진욱,김성령,조여정,조은지,진구,강구현,배정현,서동필,임일규,정순태,홍성민,김동준,김대명,김영재,이현욱,장준녕"
23,메이즈 러너,9/18/2014,"21,489,367,677",1.3%,"21,489,367,677","2,812,427","2,812,427",655,"71,048",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,미스터리,SF,스릴러",웨스 볼,"딜런 오브라이언,카야 스코델라리오,윌 폴터,토마스 생스터,이기홍"
24,호빗: 다섯 군대 전투,12/17/2014,"21,428,483,344",1.3%,"21,428,483,344","2,509,887","2,509,887",926,"43,833",미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,올랜도 블룸,크리스토퍼 리,휴고 위빙,에반젤린 릴리"
25,나의 사랑 나의 신부,10/8/2014,"16,636,404,305",1.0%,"16,636,404,305","2,141,155","2,141,155",629,"69,681",한국,한국,필름모멘텀,씨네그루(주)다우기술,15세이상관람가,"멜로/로맨스,코미디",임찬상,"조정석,신민아,윤정희,이상희,전예원,조아라,김광수,김보미,김선하,김은비,박주운,신영일,배성우,라미란,윤문식,황정민,서강준,김형욱,김근영,고규필"
26,논스톱,2/27/2014,"16,066,549,940",1.0%,"16,066,549,940","2,084,482","2,084,482",582,"58,217",미국,"미국,프랑스",,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,액션,자움 콜렛 세라,"리암 니슨,줄리안 무어,미쉘 독커리,앤슨 마운트,존 아브라함스,스쿳 맥네이리"
27,인투 더 스톰,8/28/2014,"16,157,166,332",1.0%,"16,157,166,332","2,078,698","2,078,698",585,"45,899",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,스릴러",스티븐 쿼일,"리차드 아미티지,사라 웨인 콜리스,제레미 섬터"
28,노아,3/20/2014,"15,514,373,500",0.9%,"15,514,373,500","2,026,594","2,026,594",952,"56,722",미국,미국,,씨제이이앤엠(주),15세이상관람가,"어드벤처,드라마,판타지",대런 아로노프스키,"러셀 크로우,엠마 왓슨,로건 레먼,안소니 홉킨스,제니퍼 코넬리"
29,남자가 사랑할 때,1/22/2014,"14,510,222,300",0.9%,"14,510,222,300","1,979,311","1,979,311",531,"41,123",한국,한국,"(주)사나이픽처스,필름트레인",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,드라마",한동욱,"황정민,한혜진,곽도원,정만식,손세빈,백동현,이확광,임정빈,임희준,양준호,조왕섭,조화성,최제헌,이성호,한동욱,권지훈,허명행,황병국,김정수,남경민,문성렬,박성웅,이채은,김병옥,김홍파,남일우,김태희,김종수,최우리,남문철,박지환,강민아"
30,루시,9/3/2014,"16,468,076,039",1.0%,"16,468,076,039","1,974,893","1,974,893",641,"44,585",미국,"미국,프랑스",,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,액션,뤽 베송,"스칼렛 요한슨,모건 프리먼,최민식"
31,용의자,12/24/2013,"14,408,028,500",0.9%,"30,037,521,000","1,954,586","4,131,338",618,"42,310",한국,한국,"(주)그린피쉬,(주)쇼박스",(주)쇼박스,15세이상관람가,"액션,스릴러",원신연,"공유,박희순,조성하,유다인,김성균,조재윤,김민재,김의성,송재림,최종률,남보라,기주봉,이채윤,이현명,이현우,박진수,신나라,신창환,차현준,최두리,최태환,이민수,이병훈,이성제,김경호,이언정,이재혁,김기환,김은영,김정훈,김주영,김진아,김태현,류정은,문용군,송재호,박찬영,서현우"
32,기술자들,12/24/2014,"13,652,480,148",0.8%,"13,652,480,148","1,778,083","1,778,083",641,"24,416",한국,한국,(주)트리니티엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,액션",김홍선,"김우빈,김영철,고창석,이현우,조윤희,임주환,조달환,권지훈,김원진,노선식,박갑진,유원선,윤대원,윤주환,이상민,이수민,채성원,천준호,최현우,최춘범,한지은,지승현"
33,나를 찾아줘,10/23/2014,"14,017,716,731",0.8%,"14,017,716,731","1,764,233","1,764,233",689,"50,846",미국,미국,,이십세기폭스코리아(주),청소년관람불가,스릴러,데이빗 핀처,"벤 애플렉,로자먼드 파이크,닐 패트릭 해리스,미시 파일"
34,제보자,10/2/2014,"13,515,762,802",0.8%,"13,515,762,802","1,755,181","1,755,181",676,"58,358",한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,12세이상관람가,드라마,임순례,"박해일,유연석,이경영,박원상,류현경,송하윤,김강현,김수안,김중기,이봉규,이승준,박세정,서지원,안수정,양대성,정보현,조남호,최성진,황현태,김경란,김도윤,김유민,김지은,유재명,장문규,김새벽,정훈석,최희진,김원해,장광,김영재,황정민,한기중,이미도,최용민,권해효,남명렬"
35,피끓는 청춘,1/22/2014,"11,688,382,888",0.7%,"11,688,382,888","1,676,040","1,676,040",679,"36,082",한국,한국,(주)담소필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"코미디,멜로/로맨스,드라마",이연우,"박보영,이종석,이세영,김영광,신현탁,우혜영,장세준,박지영,손지훈,송정민,안지혜,정승호,윤보현,정현진,조유진,조현주,이경주,이덕화,최영,최현영,홍수정,이예진,이은정,이정아,김기철,김동준,김수정,김영,김종현,김지혜,김하경,박선주,박정민,라미란,여윤호,김광규,유하복,권해효,김희원,정재훈,윤원준"
36,두근두근 내 인생,9/3/2014,"12,291,081,634",0.7%,"12,291,081,634","1,624,601","1,624,601",629,"40,158",한국,한국,영화사 집,씨제이이앤엠(주),12세이상관람가,드라마,이재용,"송혜교,김승욱,강동원,조성목,백일섭,황석정,안현정,강상대,신동길,양승걸,이강진,이동민,전상원,정동혁,정해진,허준석,김동섭,김소진,김승찬,김화목,도현민,박광설,채서진,김태준,오희준"
37,우아한 거짓말,3/13/2014,"11,728,460,300",0.7%,"11,728,460,300","1,619,188","1,619,188",573,"57,492",한국,한국,"(주)유비유필름,(주)무비락",CGV아트하우스,12세이상관람가,드라마,이한,"김희애,고아성,김유정,김향기,유아인,강다영,강다정,박지영,박진수,선현철,장세영,오유진,정난희,조민영,조수정,이경원,이경원,이나현,이수경,한재훈,이승준,이은진,이재구,이재은,황은정,김민아,김민정,김영재,김지훈,김해일,김화목,박송해,송지인,김정영"
38,300: 제국의 부활,3/6/2014,"13,395,159,700",0.8%,"13,395,159,700","1,593,116","1,593,116",720,"54,902",미국,미국,,워너브러더스 코리아(주),청소년관람불가,"액션,드라마,전쟁",노암 머로,"레나 헤디,에바 그린,설리반 스탭플턴,로드리고 산토로"
39,엑소더스: 신들과 왕들,12/3/2014,"12,442,681,926",0.7%,"12,442,681,926","1,511,195","1,511,195",865,"43,742",미국,"미국,영국,스페인",,이십세기폭스코리아(주),12세이상관람가,드라마,리들리 스콧,"크리스찬 베일,조엘 에저튼,시고니 위버,벤 킹슬리,아론 폴"
40,해무(海霧),8/13/2014,"11,706,782,519",0.7%,"11,706,782,519","1,475,507","1,475,507",584,"33,490",한국,한국,"(주)해무,(주)루이스 픽쳐스",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,드라마,심성보,"김윤석,박유천,한예리,이희준,문성근,김상호,유승목,이승태,이재성,김기태,김영웅,김태엽,김태엽,윤제문,조덕제,기주봉,정대용,권병길,예수정"
41,인간중독,5/14/2014,"11,284,912,400",0.7%,"11,284,912,400","1,441,973","1,441,973",682,"44,057",한국,한국,(주)아이언팩키지,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,"멜로/로맨스,드라마",김대우,"송승헌,임지연,조여정,온주완,유해진,이승준,임경민,양승희,정상철,조남민,이상미,김제현,김대영,김민범,김연지,김영민,김정숙,김정현,김주희,김한준,김현우,전혜진,배성우,정원중,윤다경,송지인,예수정,오희준"
42,말레피센트,5/29/2014,"10,776,965,900",0.6%,"10,776,965,900","1,397,526","1,397,526",554,"38,894",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,드라마",로버트 스트롬버그,"안젤리나 졸리,엘르 패닝"
43,폼페이: 최후의 날,2/20/2014,"10,303,127,700",0.6%,"10,303,127,700","1,373,873","1,373,873",561,"43,288",미국,"미국,독일",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,드라마",폴 W.S. 앤더슨,"킷 해링턴,에밀리 브라우닝,키퍼 서덜랜드,캐리 앤 모스,제시카 루카스,자레드 해리스,커리 그레이엄"
44,퓨리,11/20/2014,"10,367,640,686",0.6%,"10,367,640,686","1,362,114","1,362,114",590,"37,155",미국,"미국,영국",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,"액션,드라마,전쟁",데이비드 에이어,"브래드 피트,로건 레먼,샤이아 라보프,마이클 페나,존 번탈"
