■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-05-03,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2017-01-01~2017-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
10,킹스맨: 골든 서클,9/27/2017,"40,987,484,736",2.3%,"40,987,484,736","4,945,484","4,945,484","1,687","95,922",미국,"미국,영국",,이십세기폭스코리아(주),청소년관람불가,"액션,어드벤처,코미디",매튜 본,"콜린 퍼스,줄리안 무어,태런 에저튼,마크 스트롱,할리 베리,엘튼 존,채닝 테이텀,제프 브리지스"
11,토르: 라그나로크,10/25/2017,"39,227,691,395",2.2%,"39,227,691,395","4,853,778","4,853,778","1,640","137,423",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF",타이카 와이티티,"크리스 헴스워스,톰 히들스턴,케이트 블란쳇,이드리스 엘바,제프 골드블럼,테사 톰슨,칼 어번,마크 러팔로,안소니 홉킨스"
12,꾼,11/22/2017,"31,312,029,795",1.8%,"31,312,029,795","4,018,035","4,018,035","1,314","117,398",한국,한국,(주)영화사두둥,(주)쇼박스,15세이상관람가,범죄,장창원,"현빈,유지태,배성우,박성웅,나나,안세하,최덕문,전보람,전헌태,유정호,이용희,이재남,이창호,김동철,황인범,차순배"
13,강철비,12/14/2017,"31,994,897,566",1.8%,"31,994,897,566","4,014,293","4,014,293","1,426","66,760",한국,한국,"(주)와이웍스엔터테인먼트,(주)모팩",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",양우석,"정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희"
14,남한산성,10/3/2017,"31,225,083,792",1.8%,"31,225,083,792","3,849,087","3,849,087","1,229","71,101",한국,한국,(주)싸이런픽쳐스,씨제이이앤엠(주),15세이상관람가,"사극,드라마",황동혁,"이병헌,김윤석,박해일,고수,박희순,조우진,박주운,박지원,백동현,서병철,장정국,이정호,이호중,권효민"
15,미이라,6/6/2017,"30,504,689,978",1.7%,"30,504,689,978","3,689,325","3,689,325","1,257","105,228",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,판타지",알렉스 커츠먼,"톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,하비에르 보텟,제이크 존슨,코트니 B. 반스,딜란 스미스"
16,분노의 질주: 더 익스트림,4/12/2017,"29,981,156,348",1.7%,"29,981,156,348","3,653,238","3,653,238","1,469","113,241",미국,"미국,일본,프랑스,캐나다",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈,엘자 패터키,에바 멘데스,헬렌 미렌,조다나 브루스터,루카스 블랙,타이레스 깁슨,루다크리스"
17,너의 이름은.,1/4/2017,"29,251,793,156",1.7%,"29,566,980,156","3,637,608","3,674,371",947,"82,978",일본,일본,,메가박스중앙(주)플러스엠,12세이상관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논"
18,슈퍼배드 3,7/26/2017,"24,217,091,019",1.4%,"24,217,091,019","3,324,874","3,324,874","1,057","59,388",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"피에르 꼬팽,카일 발다","스티브 카렐,크리스틴 위그,트레이 파커"
19,아이 캔 스피크,9/21/2017,"25,526,451,186",1.5%,"25,526,451,186","3,279,296","3,279,296","1,140","93,012",한국,한국,"주식회사 영화사 시선,(주)명필름","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",12세이상관람가,코미디,김현석,"나문희,이제훈,박철민,염혜란,성유빈,김소진,이상희,정연주,이지훈,손숙,박준서,이승민,이정현,홍상원,황연희,이재인,우지현"
20,캐리비안의 해적: 죽은 자는 말이 없다,5/24/2017,"24,975,495,122",1.4%,"24,975,495,122","3,049,894","3,049,894","1,357","85,225",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,코미디","요아킴 뢰닝,에스펜 샌버그","조니 뎁,카야 스코델라리오,올랜도 블룸,하비에르 바르뎀,브렌튼 스웨이츠,제프리 러쉬,데이빗 웬햄,골시프테 파라하니,스티븐 그레이엄,케빈 맥널리,폴 매카트니,마틴 클레바,로드니 아피프"
21,프리즌,3/23/2017,"23,790,276,987",1.4%,"23,790,276,987","2,931,897","2,931,897","1,047","89,024",한국,한국,(주)큐로홀딩스,(주)쇼박스,청소년관람불가,"범죄,액션",나현,"한석규,김래원,정웅인,조재윤,신성록,곽민호,박영준,임경욱,장한승,신영진,지동주,유정호,윤세현,천재성,이상민,이수민,이용직,이재수,이정수,이정훈,홍도성,김성종,연송하,이재균,차엽,서호철"
22,덩케르크,7/20/2017,"24,550,541,348",1.4%,"24,550,541,348","2,788,732","2,788,732","1,252","65,906",미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"액션,드라마,스릴러,전쟁",크리스토퍼 놀란,"톰 하디,마크 라이런스,케네스 브래너,킬리언 머피,제임스 다시,케빈 구스리"
23,가디언즈 오브 갤럭시 VOL. 2,5/3/2017,"23,452,686,686",1.3%,"23,452,686,686","2,735,721","2,735,721","1,218","63,789",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
24,살인자의 기억법,9/6/2017,"21,375,287,492",1.2%,"21,375,287,492","2,658,589","2,658,589","1,064","88,686",한국,한국,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",(주)쇼박스,15세이상관람가,"범죄,스릴러",원신연,"설경구,김남길,설현,오달수,이현명,장정윤,전동성,전동성,전동성,전승표,백연정,백연정,정동석,정동석,유지현,윤선용,추동우,함연주,이종건,박상욱,박상운,전승표,김정영"
25,트랜스포머: 최후의 기사,6/21/2017,"21,501,959,228",1.2%,"21,501,959,228","2,614,601","2,614,601","1,739","87,234",미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"액션,어드벤처,SF",마이클 베이,"마크 월버그,안소니 홉킨스,로라 하드독,조쉬 더하멜"
26,보안관,5/3/2017,"20,844,488,409",1.2%,"20,844,488,409","2,588,628","2,588,628","1,091","63,709",한국,한국,"(주)영화사 월광,(주)사나이픽처스",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,코미디",김형주,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남,염진환,박윤호,박지훈,신지훈,이규섭,이동현,최형욱,이윤희,이정은,손여은"
27,조작된 도시,2/9/2017,"20,143,992,587",1.1%,"20,143,992,587","2,515,501","2,515,501","1,019","62,241",한국,한국,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",씨제이이앤엠(주),15세이상관람가,"범죄,액션",박광현,"지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬,박재민,박정환,박주현,박준규,박지홍,장민준,전영욱,정근수,정상문,신동호,신민철,정이삭,오준표,오지홍,조진규,윤성민,최경미,최경식,최창국,이민호,이민호,이상진,이석,이석,이수빈,한성관,이유진,이정훈,이정훈,이종혁,노남석,백승철,손강국,한지은,박지후"
28,보스 베이비,5/3/2017,"18,936,306,704",1.1%,"18,936,306,704","2,452,245","2,452,245","1,116","48,379",미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,코미디,가족",톰 맥그라스,"알렉 볼드윈,리사 쿠드로,스티브 부세미,토비 맥과이어,지미 키멜"
29,재심,2/15/2017,"19,266,319,637",1.1%,"19,266,319,637","2,421,197","2,421,197",935,"68,402",한국,한국,(주)이디오플랜,"오퍼스픽쳐스(유),CGV아트하우스",15세이상관람가,드라마,김태윤,"정우,강하늘,김해숙,이동휘,한재영,이경영,박희정,우상기,조해진,유지현,이다은,이동희,이동준,이승훈,한하늘,이정수,이정은,이종재,김진욱,김소진,김하나,최정헌"
30,박열,6/28/2017,"18,093,639,795",1.0%,"18,093,639,795","2,359,206","2,359,206","1,176","78,499",한국,한국,(유)박열문화전문회사,메가박스중앙(주)플러스엠,12세이상관람가,드라마,이준익,"이제훈,최희서,김인우,권율,민진웅,이형석,박진성,배정환,서동기,정무진,정승채,조박,윤재국,이경수,이동욱,이병훈,이성규,이승환,이신우,이영상,이재성,이정현,이종민,홍준석,달시 파켓,김준한,최정헌,백수장"
31,모아나,1/12/2017,"18,056,417,307",1.0%,"18,056,417,307","2,310,206","2,310,206",953,"53,162",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"론 클레멘츠,존 머스커","드웨인 존슨,아우이 크라발호,알란 터딕,제메인 클레멘트,테무에라 모리슨"
32,마스터,12/21/2016,"18,283,595,800",1.0%,"58,068,236,865","2,215,266","7,150,586","1,245","56,141",한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,오달수,박해수,진경,김정우,장한별,이승용,김대현,홍성덕,우도환"
33,로건,3/1/2017,"18,391,060,223",1.0%,"18,391,060,223","2,169,109","2,169,109",954,"68,709",미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",제임스 맨골드,"휴 잭맨,패트릭 스튜어트,보이드 홀브룩,스테판 머천트,리차드 E. 그랜트,에릭 라 살,엘리스 닐"
34,원더 우먼,5/31/2017,"17,468,588,886",1.0%,"17,468,588,886","2,165,401","2,165,401","1,034","57,818",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",팻티 젠킨스,"갤 가돗,로빈 라이트,크리스 파인,데이빗 듈리스,코니 닐슨,엘레나 아나야"
35,겟 아웃,5/17/2017,"17,431,830,075",1.0%,"17,431,830,075","2,138,174","2,138,174",945,"56,530",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),미스터리,스릴러,드라마",조던 필,"다니엘 칼루야,앨리슨 윌리암스,브래들리 휘트포드,캐서린 키너"
36,혹성탈출: 종의 전쟁,8/15/2017,"16,854,482,778",1.0%,"16,854,482,778","2,051,315","2,051,315","1,017","44,543",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,드라마,SF",맷 리브스,"앤디 서키스,우디 해럴슨,스티브 잔,주디 그리어,타이 올슨,채드 룩,티모시 웨버,마이클 아담스웨이트,라우로 차트랜드,스티브 바란칙"
37,1987,12/27/2017,"15,254,004,037",0.9%,"15,254,004,037","1,942,077","1,942,077","1,299","27,619",한국,한국,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤,황성준,서현우,조민준,박지환"
38,애나벨 : 인형의 주인,8/10/2017,"15,527,492,238",0.9%,"15,527,492,238","1,934,270","1,934,270","1,006","35,103",미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),데이비드 F. 샌드버그,"스테파니 시그만,알리시아 벨라 베일리,미란다 오토,탈리타 베이트먼"
39,노무현입니다,5/25/2017,"14,556,517,612",0.8%,"14,556,517,612","1,855,149","1,855,149",775,"61,327",한국,한국,영화사 풀,"CGV아트하우스,영화사 풀",12세이상관람가,다큐멘터리,이창재,"노무현,이상호"
40,저스티스 리그,11/15/2017,"14,629,677,795",0.8%,"14,629,677,795","1,786,383","1,786,383","1,308","73,390",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",잭 스나이더,"벤 애플렉,갤 가돗,제이슨 모모아,레이 피셔,에즈라 밀러,헨리 카빌,J.K. 시몬스,윌렘 데포,제레미 아이언스,앰버 허드,코니 닐슨,에이미 아담스,다이안 레인"
41,킬러의 보디가드,8/30/2017,"14,020,395,800",0.8%,"14,020,395,800","1,721,757","1,721,757",482,"42,002",미국,미국,,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",15세이상관람가,"액션,코미디",패트릭 휴즈,"라이언 레이놀즈,사무엘 L. 잭슨,셀마 헤이엑,게리 올드만"
42,콩: 스컬 아일랜드,3/8/2017,"13,990,563,383",0.8%,"13,990,563,383","1,689,717","1,689,717",984,"56,425",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지",조던 복트-로버츠,"톰 히들스턴,브리 라슨,사무엘 L. 잭슨,존 굿맨"
43,23 아이덴티티,2/22/2017,"13,609,648,135",0.8%,"13,609,648,135","1,675,819","1,675,819",952,"44,104",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,스릴러,M. 나이트 샤말란,"제임스 맥어보이,안야 테일러 조이,헤일리 루 리차드슨,베티 버클리,브래드 윌리엄 헨크,킴 디렉터,스털링 K. 브라운"
44,임금님의 사건수첩,4/26/2017,"12,651,193,723",0.7%,"12,651,193,723","1,635,003","1,635,003","1,054","53,005",한국,한국,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,"코미디,어드벤처,액션",문현성,"이선균,안재홍,김희원,주진모,장영남,경수진,정해인,조영진,박용균,박정민,박진욱,박형수,서병철,심상용,안용우,조제웅,유하나,윤기현,이상원,이승일,이승훈,이영호,이웅희,이재현,이재환,이정민,이주원,최용훈,김종훈,김정영"
45,부라더,11/2/2017,"11,783,109,998",0.7%,"11,783,109,998","1,492,903","1,492,903",889,"54,975",한국,한국,"(주)홍필름,(주)수필름",메가박스중앙(주)플러스엠,12세이상관람가,코미디,장유정,"마동석,이동휘,이하늬,류정수,배준수,석정호,신은영,안백승,안승주,채지혜,이성은,이수민,이은정,한명순,이재민,이하은,황인주,황종환,김근영"
46,기억의 밤,11/29/2017,"10,646,654,660",0.6%,"10,646,654,660","1,386,611","1,386,611",759,"52,847",한국,한국,(주)비에이엔터테인먼트,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",15세이상관람가,"미스터리,스릴러",장항준,"강하늘,김무열,문성근,나영희,최고,박윤식,박재영,이동근,이동진,이승용,남명렬,김현목"
47,해피 데스데이,11/8/2017,"11,004,455,402",0.6%,"11,004,455,402","1,382,650","1,382,650",714,"52,101",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),미스터리,스릴러",크리스토퍼 랜던,"제시카 로테,이스라엘 브로우사드"
48,브이아이피,8/23/2017,"10,956,621,835",0.6%,"10,956,621,835","1,373,316","1,373,316",996,"44,650",한국,한국,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",워너브러더스 코리아(주),청소년관람불가,"범죄,드라마",박훈정,"강소백,장동건,김명민,박희순,이종석,임보라,박재웅,박준서,박준호,신수정,안세진,조청원,지성훈,최상재,최우진,이상민,이윤하,이주원,김대현,오대환"
49,특별시민,4/26/2017,"10,494,768,945",0.6%,"10,494,768,945","1,362,634","1,362,634","1,154","46,377",한국,한국,(주)팔레트픽처스,(주)쇼박스,15세이상관람가,드라마,박인제,"최민식,곽도원,심은경,문소리,라미란,류혜영,이기홍,진선규,권용덕,이주연,이준범,박지연,정병욱,정병진,신동필,정성호,신중혁,정연서,이상구,이상준,이수경,이영민,이윤희,이재현,홍윤기,마동석,서이숙,정재윤,강기영"
50,에이리언: 커버넌트,5/9/2017,"10,745,826,264",0.6%,"10,745,826,264","1,307,226","1,307,226",841,"41,761",미국,"미국,호주,뉴질랜드",,이십세기폭스코리아(주),15세이상관람가,"SF,스릴러",리들리 스콧,"마이클 패스벤더,캘리 헤르난데스,캐서린 워터스턴,제임스 프랭코,누미 라파스,가이 피어스,빌리 크루덥,카르멘 에조고,대니 맥브라이드,주시 스몰렛"
51,장산범,8/17/2017,"10,341,783,083",0.6%,"10,341,783,083","1,306,438","1,306,438",711,"34,768",한국,한국,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"미스터리,스릴러",허정,"염정아,박혁권,허진,신린아,방유설,이준혁,이달,이주원,장리우,정지훈"
52,악녀,6/8/2017,"9,739,662,144",0.6%,"9,739,662,144","1,208,081","1,208,081",685,"46,070",한국,한국,(주)앞에있다,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,액션,정병길,"김옥빈,신하균,성준,김서형,조은지,이승주,정해균,박철민,손민지,민예지,김연우,주문수,임도현,박지훈,박현민,백동현,장현기,정성윤,신중혁,신진철,정태수,차미진,윤인제,윤진영,이강우,이동희,이상진,이상철,이승철,이주현,홍준선,황성호,문지현"
53,해빙,3/1/2017,"9,905,406,822",0.6%,"9,905,406,822","1,204,600","1,204,600",915,"46,227",한국,한국,"위더스필름(주),(주)영화사불",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,스릴러,이수연,"조진웅,신구,김대명,송영창,이청아,윤세아,박희정,서수민,이강재,이재은"
54,라라랜드,12/7/2016,"9,822,110,162",0.6%,"29,818,249,394","1,185,287","3,570,395",590,"37,450",미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",데이미언 셔젤,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
55,하루,6/15/2017,"9,072,737,842",0.5%,"9,072,737,842","1,129,609","1,129,609",781,"45,808",한국,한국,(주)라인필름,CGV아트하우스,15세이상관람가,스릴러,조선호,"김명민,변요한,유재명,조은형,신혜선,박정민,이승민"
56,지오스톰,10/19/2017,"8,480,864,614",0.5%,"8,480,864,614","1,028,384","1,028,384",854,"35,453",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF,스릴러","딘 데블린,대니 캐넌","캐서린 윈닉,제라드 버틀러,짐 스터게스,애비 코니시,앤디 가르시아"
57,스타워즈: 라스트 제다이,12/14/2017,"8,535,886,061",0.5%,"8,535,886,061","946,547","946,547","1,107","30,914",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF",라이언 존슨,"마크 해밀,캐리 피셔,아담 드라이버,데이지 리들리,존 보예가,오스카 아이삭,루피타 뇽,앤디 서키스,도널 글리슨,안소니 다니엘,그웬돌린 크리스티,켈리 마리 트란,로라 던,베니치오 델 토로"
58,불한당: 나쁜 놈들의 세상,5/17/2017,"7,587,004,625",0.4%,"7,587,004,625","939,535","939,535",860,"37,913",한국,한국,"씨제이이앤엠(주),(주)바른손",씨제이이앤엠(주),청소년관람불가,"범죄,액션,드라마",변성현,"설경구,임시완,김희원,전혜진,이경영,김성오,허준호,박정주,박지호,박형우,임효은,정기욱,주현수,윤준희,최형욱,이미소,이시훈,이영호,이은비,이인규,이정우,이정호,김말구,문지윤"
59,그것,9/6/2017,"7,335,022,607",0.4%,"7,335,022,607","888,836","888,836",837,"35,430",미국,미국,,워너브러더스 코리아(주),15세이상관람가,"공포(호러),드라마",안드레스 무시에티,"오웬 티그,빌 스카스가드,핀 울프하드,하비에르 보텟,소피아 릴리스"
60,오리엔트 특급 살인,11/29/2017,"6,636,205,163",0.4%,"6,636,205,163","863,567","863,567",707,"35,031",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,미스터리,범죄",케네스 브래너,"케네스 브래너,페넬로페 크루즈,윌렘 데포,주디 덴치,조니 뎁,조시 게드,데렉 자코비,미쉘 파이퍼,데이지 리들리"
61,대립군,5/31/2017,"6,276,963,402",0.4%,"6,276,963,402","837,500","837,500",809,"29,084",한국,한국,"리얼라이즈픽쳐스(주),이십세기폭스 인터내셔널 프로덕션,(주)베르디미디어,(주)블러썸픽쳐스",이십세기폭스코리아(주),15세이상관람가,"드라마,사극",정윤철,"이정재,여진구,김무열,이솜,박원상,배수빈,김명곤,박해준,이한성,박정환,박지환,박지훈,손승훈,손영진,정연수,지경현,유명환,윤성민,이가경,이경수,이경재,이상현,이승철,이승훈,이주영,박호산,김원진,김재록"
62,베이비 드라이버,9/14/2017,"6,699,906,214",0.4%,"6,699,906,214","822,769","822,769",778,"40,531",영국,영국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"액션,범죄,스릴러",에드가 라이트,"안셀 엘고트,케빈 스페이시,릴리 제임스,에이자 곤잘레스,존 햄,제이미 폭스"
63,위대한 쇼맨,12/20/2017,"6,657,027,200",0.4%,"6,657,027,200","814,585","814,585",702,"20,306",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨"
64,뽀로로 극장판 공룡섬 대모험,12/7/2017,"5,848,888,600",0.3%,"5,848,888,600","773,743","773,743",803,"18,226",한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"김현호,윤제완","이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현"
65,레지던트 이블: 파멸의 날,1/25/2017,"6,422,202,365",0.4%,"6,422,202,365","765,259","765,259",599,"24,450",미국,"미국,독일,호주,캐나다,프랑스",,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"액션,공포(호러),SF,스릴러",폴 W.S. 앤더슨,"밀라 요보비치,알리 라터,이아인 글렌,숀 로버츠,이준기"
66,공각기동대 : 고스트 인 더 쉘,3/29/2017,"6,285,970,884",0.4%,"6,285,970,884","764,072","764,072",807,"36,261",미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,범죄,액션",루퍼트 샌더스,"스칼렛 요한슨,마이클 피트,마이클 윈코트,요한 필리프 아스베크,기타노 다케시"
