■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-05-03,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2010-01-01~2010-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,아바타,12/17/2009,"81,455,728,000",7.0%,"124,896,892,500","8,151,952","13,302,619",714,"111,860",미국,미국,이십세기폭스필름코퍼레이션,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",12세이상관람가,"SF,액션,어드벤처",제임스 카메론,"샘 워싱턴,조 샐다나,시고니 위버"
2,아저씨,8/4/2010,"47,101,332,000",4.1%,"47,101,332,000","6,178,248","6,178,248",501,"109,853",한국,한국,오퍼스픽쳐스(유),씨제이엔터테인먼트,청소년관람불가,"액션,드라마",이정범,"원빈,김새론,김희원,김성오,김태훈,김호연,김성훈,김효민,김효서,신동민,홍석준,조영아,홍의정,이재원,조용현,박준우,최현아,황재순,박혜리,박호진,홍소희,노승우,임효우,이건문,백현익,서정주,김도형,민소연,이상하,박병렬,장민주,장준호,박성택,오정식,정도원,김창민,양종현,서민경,김지민,남경읍,송영창,이종필,조재윤,장준녕"
3,인셉션,7/21/2010,"43,394,990,000",3.7%,"43,394,990,000","5,827,444","5,827,444",531,"81,891",미국,미국,"워너 브러더스 픽쳐스,레젼데리 픽쳐스",워너브러더스 코리아(주),12세이상관람가,"드라마,미스터리",크리스토퍼 놀란,"레오나르도 디카프리오,엘렌 페이지,마리온 꼬띨라르"
4,의형제,2/4/2010,"40,153,729,000",3.5%,"40,153,729,000","5,416,812","5,416,812",569,"118,243",한국,한국,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",(주)쇼박스,15세이상관람가,"드라마,액션",장훈,"송강호,강동원,전국환,박혁권,윤희석,최정우,정인기,설진욱,강명희,홍서백,박용진,김의용,황순욱,황인준,박현수,김남희,김태환,박민우,임세환,최윤서,김진용,주부진,이현지,백승익,차엽,박진우,김광규,고창석,배용근,유하복"
5,아이언맨 2,4/29/2010,"32,635,195,500",2.8%,"32,635,195,500","4,425,003","4,425,003",921,"87,665",미국,미국,"파라마운트 픽쳐스,마블 엔터프라이즈",씨제이엔터테인먼트,12세이상관람가,"SF,액션,어드벤처",존 파브로,"로버트 다우니 주니어,기네스 팰트로우,돈 치들,스칼렛 요한슨,미키 루크"
6,전우치,12/23/2009,"26,345,113,000",2.3%,"44,092,715,000","3,611,472","6,065,355",556,"73,175",한국,한국,영화사 집,씨제이엔터테인먼트,12세이상관람가,"액션,코미디,판타지",최동훈,"강동원,임수정,김윤석,유해진,염정아,김시권,주진모,김효진,강동균,정혜란,손선영,송진영,김혜지,신수현,박용범,박민규,조운,김현식,박지희,안성진,노남석,한연호,김고은,김규연,고준영,박남희,윤대원,이석원,이성두,정영훈,정우철,박연수,오준석,정지인,이우희,이대로,이철희,송영창,이미도,김서현,최진호,조상건,장준녕,최우리,김상호,이용녀,선우선,공정환,박성훈"
7,이끼,7/14/2010,"25,437,300,500",2.2%,"25,437,300,500","3,350,303","3,350,303",740,"58,198",한국,한국,"(주)시네마서비스,㈜렛츠필름,(주)시네마서비스글로벌",씨제이엔터테인먼트,청소년관람불가,"드라마,스릴러",강우석,"정재영,박해일,유준상,유선,허준호,유해진,김상호,김준배,강신일,이철민,박정재,유준상,최근현,윤아름,오순태,김철현,장준녕"
8,포화속으로,6/16/2010,"23,831,958,600",2.1%,"23,831,958,600","3,330,324","3,330,324",742,"80,091",한국,한국,"(주)태원엔터테인먼트,(주)유비유필름,(주)에이치 플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"드라마,전쟁",이재한,"차승원,권상우,최승현,김승우,김혜성,신현탁,문재원,김득겸,신경선,추종범,홍성진,신성현,김윤성,장문석,김한준,황승현,김동윤,김동범,서승택,김경주,김대연,김규호,채호병,김태환,유승현,유영준,최민석,유한솔,윤승훈,장현근,이성문,정경일,윤진태,이세진,정재훈,정준혁,김정섭,김수형,김승환,이경현,이현종,고은총,이동훈,박진희,데이비드 맥기니스,남태부,강필선,진용욱,김호원,황유현"
9,하모니,1/28/2010,"21,641,750,000",1.9%,"21,641,750,000","3,018,131","3,018,131",384,"77,723",한국,한국,(주)제이케이필름,씨제이엔터테인먼트,12세이상관람가,드라마,강대규,"김윤진,김호연,나문희,강예원,이다희,장영남,박준면,정수영,손미희,정혜원,홍민기,김원영,신정원,김해용,박지연,서동현,박란,유정민,이효준,임채연,윤익준,윤정빈,박선희,오은미,정재민,염은하,최은찬,전수지,김양성,김현수,김재화,황금희"
