■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-05-03,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2012-01-01~2012-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,도둑들,7/25/2012,"93,664,808,500",6.4%,"93,664,808,500","12,983,178","12,983,178","1,091","155,392",한국,"한국,홍콩",(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,범죄",최동훈,"김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이심결,증국상,서영주,장동,장현문,정윤헌,조상원,한규석,홍원기,김영민,최덕문,최진호,장준녕,예수정"
2,"광해, 왕이 된 남자",9/13/2012,"88,899,448,769",6.1%,"88,899,448,769","12,319,390","12,319,390","1,001","203,400",한국,한국,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"사극,드라마",추창민,"이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,조혜정,김남준,이수용,박윤호,김지수,박민규,박지아,송미정,양준모,원동연,김종구,주영호,이엘,전배수,이란희,최욱"
3,어벤져스,4/26/2012,"59,557,853,478",4.1%,"59,557,853,478","7,074,867","7,074,867",967,"109,697",미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,SF",조스 웨던,"로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,크리스 에반스,제레미 레너"
4,늑대소년,10/31/2012,"46,590,107,000",3.2%,"46,590,107,000","6,654,390","6,654,390",854,"109,069",한국,한국,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,드라마,판타지",조성희,"송중기,박보영,장영남,유연석,김향기,장서이,한민혁,이승주,최광락,오영석,차종호,이영란,유승목,서동수"
5,다크 나이트 라이즈,7/19/2012,"47,644,838,000",3.3%,"47,644,838,000","6,396,528","6,396,528","1,210","81,254",미국,"미국,영국",,워너브러더스 코리아(주),15세이상관람가,"액션,범죄,스릴러",크리스토퍼 놀란,"크리스찬 베일,게리 올드만,앤 해서웨이,톰 하디,조셉 고든 레빗"
6,바람과 함께 사라지다,8/8/2012,"34,614,661,161",2.4%,"34,614,661,161","4,909,937","4,909,937",694,"78,591",한국,한국,"(주)두타연,(주)에이디사공육",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,사극",김주호,"차태현,오지호,민효린,성동일,신정근,고창석,송종호,이채영,김길동,천보근,김향기,최대호,정종열,임창훈,임혜인,최광덕,최태환,이아람,이예은,이주현,문영동,김강일,오나라,진용욱,오희준"
7,어메이징 스파이더맨,6/28/2012,"41,163,951,235",2.8%,"41,163,951,235","4,853,123","4,853,123","1,118","92,755",미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,마크 웹,"앤드류 가필드,엠마 스톤,마틴 쉰,샐리 필드"
8,범죄와의 전쟁: 나쁜놈들 전성시대,2/2/2012,"36,538,823,500",2.5%,"36,538,823,500","4,719,872","4,719,872",713,"91,889",한국,한국,"(주)팔레트픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"범죄,드라마",윤종빈,"최민식,하정우,조진웅,마동석,곽도원,김성균,박성광,이철민,임자연,임헌호,권종현,김민주,박재현,박태호,신수정,이강곤,이낙준,권율,송영창,박병은,김홍파,이희준,유재명,장준녕,김종수,오만석,정재헌,고규필,이세랑,박인수"
9,내 아내의 모든 것,5/17/2012,"34,223,620,500",2.4%,"34,223,620,500","4,598,821","4,598,821",563,"91,773",한국,한국,"(주)수필름,영화사 집",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,멜로/로맨스",민규동,"임수정,이선균,류승룡,이달형,이진희,김도균,김선일,최차원,신경철,옥광희,박희본,김지영,정대용,남명렬"
